Haryana
0
0
0
0
0
0
14
14
14
14
14
14
14
14
14
14
14
14
14
15
17
17
17
17
21
26
28
28
30
33
33
33
36
40
43
43
49
49
59
84
90
147
169
169
177
185
185
199
199
205
205
225
